#Pr	SDI			IW		SDI_IW		WM		FMQ	EMOD	Temp
1		1021.18772009
2		1042.20596151
3		1063.06028894
4		1083.75584434
5		1104.29739664
6		1124.68938227
7		1144.93593782
8		1165.04093042
9		1185.00798636
10		1204.84051413
11		1224.54172459
12		1244.11464668
13		1263.56214529
14		1282.88693522
15		1302.09159154
16		1321.17856477
17		1340.15018873
18		1359.0086855
19		1377.75617939
20		1396.39470221
21		1414.92619976
22		1433.35253779
23		1451.67550547
24		1469.89682226
25		1488.01814231
26		1506.04106043
27		1523.96711034
28		1541.79777535
29		1559.53448613
30		1577.17862367
31		1594.73152547
32		1612.19448624
33		1629.56876023
34		1646.85556163
35		1664.05606997
36		1681.17142855
37		1698.20274788
38		1715.15110885
39		1732.01756261
40		1748.8031287
41		1765.50880282
42		1782.13555478
43		1798.68432657
44		1815.15603806
45		1831.55158806
46		1847.87185212
47		1864.11768347
48		1880.2899184
49		1896.38937251
50		1912.41684296
51		1928.37310918
52		1944.25893209
53		1960.07505907
54		1975.8222188
55		1991.5011261
56		2007.11248109
57		2022.65696966
58		2038.13526395
59		2053.54802286
60		2068.89589106
61		2084.17950218
62		2099.39947786
63		2114.55642674
64		2129.65094755
65		2144.68362809
66		2159.65504426
67		2174.56576301
68		2189.41634131
69		2204.20732645
70		2218.93925375
71		2233.61265326
72		2248.2280436
73		2262.78593603
74		2277.28683214
75		2291.73122663
76		2306.11960501
77		2320.45244628
78		2334.7302219
79		2348.95339476
80		2363.12242061
81		2377.23774943
82		2391.29982319
83		2405.30907843
84		2419.26594518
85		2433.17084484
86		2447.02419613
87		2460.82640825
88		2474.57788684
89		2488.2790318
90		2501.93023624
91		2515.5318878
92		2529.08436989
93		2542.58805952
94		2556.0433297
95		2569.4505473
96		2582.81007426
97		2596.12226884
98		2609.38748346
99		2622.60606596
100		2635.77836071
101		2648.90470661
102		2661.98543926
103		2675.02088898
104		2688.01138191
105		2700.95724012
106		2713.8587827
107		2726.7163238
108		2739.53017475
109		2752.30064205
110		2765.02802852
111		2777.71263336
112		2790.35475318
113		2802.95468011
114		2815.51270282
115		2828.02910762
116		2840.5041765
117		2852.9381882
118		2865.33141827
119		2877.68414009
120		2889.99662298
121		2902.26913324
122		2914.50193512
123		2926.69528806
124		2938.84945052
125		2950.96467811
126		2963.04122179
127		2975.07933164
128		2987.07925413
